file,start_time
T001_C57_D1,2018-01-17 14:11:00
T001_C57_D2,2018-01-18 12:02:01
T002_C57_D1,2018-01-24 14:26:28
T002_C57_D2,2018-01-25 12:02:49
T003_C57_D1,2018-02-13 15:52:19
T003_C57_D2,2018-02-14 12:02:43
T004_C57_D1,2018-02-21 15:13:33
T004_C57_D2,2018-02-22 12:02:17
T005_C57_D1,2018-02-28 12:58:06
T005_C57_D2,2018-03-01 12:02:54
T006_C57_D1,2018-03-05 12:19:35
T006_C57_D2,2018-03-06 12:02:25
T007_NY2_D1,2018-03-26 15:30:03
T007_NY2_D2,2018-03-27 12:03:34
T008_NY2_D1,2018-03-19 12:51:54
T008_NY2_D2,2018-03-20 12:02:36
T009_NY3_D1,2018-04-09 13:42:03
T009_NY3_D2,2018-04-10 12:01:28
T010_NY3_D1,2018-04-16 12:30:11
T010_NY3_D2,2018-04-17 12:01:52
T011_NY3_D1,2018-04-23 13:29:36
T011_NY3_D2,2018-04-24 12:01:39
T012_NY2_D1,2018-06-04 12:24:32
T012_NY2_D2,2018-06-05 12:05:22
T013_NY2_D1,2018-06-18 12:22:38
T013_NY2_D2,2018-06-19 12:05:19
T014_PAH_D1,2019-02-06 12:10:45
T014_PAH_D2,2019-02-07 12:01:34
T015_PAH_D1,2019-02-13 12:15:55
T015_PAH_D2,2019-02-14 12:01:45
T016_PAH_D1,2019-02-20 12:10:55
T016_PAH_D2,2019-02-21 12:01:26
T017_PAH_D1,2019-03-06 13:47:19
T017_PAH_D2,2019-03-07 12:01:35
T018_PAH_D1,2019-06-19 12:47:03
T018_PAH_D2,2019-06-20 12:01:26
T019_PAH_D1,2019-06-26 12:24:57
T019_PAH_D2,2019-06-27 12:01:20
T020_PAH_D1,2019-07-03 12:10:38
T020_PAH_D2,2019-07-04 12:01:26
T021_NY2_D1,2019-07-16 12:13:58
T021_NY2_D2,2019-07-17 12:01:58
T022_NY2_D1,2019-07-20 12:49:40
T022_NY2_D2,2019-07-21 12:01:38